Process info for MULTI-processor sim (CPU IDs are 0-3)
pid,cpu_id,wait time,comp time,I/O total,read cnt(I/O),write cnt(I/O),ram used(words),cache hit,cache miss,cache used(words),pc,code_sz,pri,status,ibuf_sz,obuf_sz,tbuf_sz,codeD_adr,dataD_adr,p_sz,codeR_adr,in_bufR_adr,out_bufR_adr,tmp_bufR_adr
1,0,0,140,12,11,1,67,180,69,1168,23,23,2,SAVED_TERMINATED,20,12,12,0,23,67,0,23,43,55,
2,1,0,149,12,11,1,72,198,68,1152,28,28,4,SAVED_TERMINATED,20,12,12,67,95,72,67,95,115,127,
3,2,0,141,12,11,1,68,181,69,1168,24,24,6,SAVED_TERMINATED,20,12,12,139,163,68,139,163,183,195,
4,3,0,91,12,1,11,63,112,29,528,19,19,5,SAVED_TERMINATED,20,12,12,207,226,63,207,226,246,258,
5,3,91,149,12,11,1,72,198,68,1152,28,28,3,SAVED_TERMINATED,20,12,12,270,298,72,270,298,318,330,
6,0,140,141,12,11,1,68,181,69,1168,24,24,7,SAVED_TERMINATED,20,12,12,342,366,68,342,366,386,398,
7,2,141,91,12,1,11,63,112,29,528,19,19,5,SAVED_TERMINATED,20,12,12,410,429,63,410,429,449,461,
8,1,149,91,12,1,11,63,112,29,528,19,19,16,SAVED_TERMINATED,20,12,12,473,492,63,473,492,512,524,
9,2,232,141,12,11,1,68,181,69,1168,24,24,2,SAVED_TERMINATED,20,12,12,536,560,68,536,560,580,592,
10,1,240,149,12,11,1,72,198,68,1152,28,28,10,SAVED_TERMINATED,20,12,12,604,632,72,604,632,652,664,
11,3,240,140,12,11,1,67,180,69,1168,23,23,3,SAVED_TERMINATED,20,12,12,676,699,67,676,699,719,731,
12,0,281,149,12,11,1,72,198,68,1152,28,28,9,SAVED_TERMINATED,20,12,12,743,771,72,743,771,791,803,
13,2,373,141,12,11,1,68,181,69,1168,24,24,12,SAVED_TERMINATED,20,12,12,815,839,68,815,839,859,871,
14,3,380,75,10,1,9,63,94,23,432,19,19,2,SAVED_TERMINATED,20,12,12,883,902,63,883,902,922,934,
15,1,389,128,11,10,1,68,165,62,1056,24,24,5,SAVED_TERMINATED,20,12,12,946,970,68,946,970,990,1002,
16,0,430,35,5,1,4,63,49,8,192,19,19,8,SAVED_TERMINATED,20,12,12,1014,1033,63,0,19,39,51,
17,1,517,149,12,11,1,72,198,68,1152,28,28,4,SAVED_TERMINATED,20,12,12,1077,1105,72,63,91,111,123,
18,2,514,141,12,11,1,68,181,69,1168,24,24,12,SAVED_TERMINATED,20,12,12,1149,1173,68,135,159,179,191,
19,3,455,120,10,9,1,72,161,54,928,28,28,1,SAVED_TERMINATED,20,12,12,1217,1245,72,203,231,251,263,
20,0,465,141,12,11,1,68,181,69,1168,24,24,2,SAVED_TERMINATED,20,12,12,1289,1313,68,275,299,319,331,
21,3,575,99,13,1,12,63,121,32,576,19,19,4,SAVED_TERMINATED,20,12,12,1357,1376,63,343,362,382,394,
22,2,655,149,12,11,1,72,198,68,1152,28,28,10,SAVED_TERMINATED,20,12,12,1420,1448,72,406,434,454,466,
23,1,666,127,11,10,1,67,164,62,1056,23,23,5,SAVED_TERMINATED,20,12,12,1492,1515,67,478,501,521,533,
24,0,606,141,12,11,1,68,181,69,1168,24,24,7,SAVED_TERMINATED,20,12,12,1559,1583,68,545,569,589,601,
25,3,674,75,7,6,1,67,100,34,608,23,23,9,SAVED_TERMINATED,20,12,12,1627,1650,67,613,636,656,668,
26,1,793,59,8,1,7,63,76,17,336,19,19,4,SAVED_TERMINATED,20,12,12,1694,1713,63,680,699,719,731,
27,2,804,140,12,11,1,67,180,69,1168,23,23,9,SAVED_TERMINATED,20,12,12,1757,1780,67,743,766,786,798,
28,3,749,149,12,11,1,72,198,68,1152,28,28,3,SAVED_TERMINATED,20,12,12,1824,1852,72,810,838,858,870,
29,0,747,141,12,11,1,68,181,69,1168,24,24,1,SAVED_TERMINATED,20,12,12,1896,1920,68,882,906,926,938,
30,1,852,83,11,1,10,63,103,26,480,19,19,8,SAVED_TERMINATED,20,12,12,1964,1983,63,950,969,989,1001,


           SUMMARY OF SIMULATION        
avg,tot,avg,tot,avg,tot,avg,tot,avg,tot,avg,tot,avg,tot
wait,wait,comp,comp,IO,IO,read(io),read(io),write(io),write(io),ram,ram,cache,cache
405,12158,122,3665,11,338,8,241,3,97,67,2027,938,28160,
