Process info for MULTI-processor sim (CPU IDs are 0-3)
pid,cpu_id,wait time,comp time,I/O total,read cnt(I/O),write cnt(I/O),ram used(words),cache hit,cache miss,cache used(words),pc,code_sz,pri,status,ibuf_sz,obuf_sz,tbuf_sz,codeD_adr,dataD_adr,p_sz,codeR_adr,in_bufR_adr,out_bufR_adr,tmp_bufR_adr
1,1,657,140,12,11,1,67,180,69,1168,23,23,2,SAVED_TERMINATED,20,12,12,0,23,67,616,639,659,671,
2,2,483,149,12,11,1,72,198,68,1152,28,28,4,SAVED_TERMINATED,20,12,12,67,95,72,135,163,183,195,
3,1,290,141,12,11,1,68,181,69,1168,24,24,6,SAVED_TERMINATED,20,12,12,139,163,68,811,835,855,867,
4,0,323,91,12,1,11,63,112,29,528,19,19,5,SAVED_TERMINATED,20,12,12,207,226,63,879,898,918,930,
5,2,632,149,12,11,1,72,198,68,1152,28,28,3,SAVED_TERMINATED,20,12,12,270,298,72,405,433,453,465,
6,2,251,141,12,11,1,68,181,69,1168,24,24,7,SAVED_TERMINATED,20,12,12,342,366,68,675,699,719,731,
7,2,392,91,12,1,11,63,112,29,528,19,19,5,SAVED_TERMINATED,20,12,12,410,429,63,942,961,981,993,
8,0,0,91,12,1,11,63,112,29,528,19,19,16,SAVED_TERMINATED,20,12,12,473,492,63,0,19,39,51,
9,3,719,141,12,11,1,68,181,69,1168,24,24,2,SAVED_TERMINATED,20,12,12,536,560,68,683,707,727,739,
10,3,0,149,12,11,1,72,198,68,1152,28,28,10,SAVED_TERMINATED,20,12,12,604,632,72,199,227,247,259,
11,3,579,140,12,11,1,67,180,69,1168,23,23,3,SAVED_TERMINATED,20,12,12,676,699,67,477,500,520,532,
12,1,141,149,12,11,1,72,198,68,1152,28,28,9,SAVED_TERMINATED,20,12,12,743,771,72,343,371,391,403,
13,1,0,141,12,11,1,68,181,69,1168,24,24,12,SAVED_TERMINATED,20,12,12,815,839,68,63,87,107,119,
14,2,781,75,10,1,9,63,94,23,432,19,19,2,SAVED_TERMINATED,20,12,12,883,902,63,751,770,790,802,
15,0,414,128,11,10,1,68,165,62,1056,24,24,5,SAVED_TERMINATED,20,12,12,946,970,68,0,24,44,56,
16,2,216,35,5,1,4,63,49,8,192,19,19,8,SAVED_TERMINATED,20,12,12,1014,1033,63,549,568,588,600,
17,3,430,149,12,11,1,72,198,68,1152,28,28,4,SAVED_TERMINATED,20,12,12,1077,1105,72,207,235,255,267,
18,2,0,141,12,11,1,68,181,69,1168,24,24,12,SAVED_TERMINATED,20,12,12,1149,1173,68,131,155,175,187,
19,1,797,120,10,9,1,72,161,54,928,28,28,1,SAVED_TERMINATED,20,12,12,1217,1245,72,882,910,930,942,
20,0,750,141,12,11,1,68,181,69,1168,24,24,2,SAVED_TERMINATED,20,12,12,1289,1313,68,814,838,858,870,
21,1,558,99,13,1,12,63,121,32,576,19,19,4,SAVED_TERMINATED,20,12,12,1357,1376,63,279,298,318,330,
22,0,91,149,12,11,1,72,198,68,1152,28,28,10,SAVED_TERMINATED,20,12,12,1420,1448,72,271,299,319,331,
23,1,431,127,11,10,1,67,164,62,1056,23,23,5,SAVED_TERMINATED,20,12,12,1492,1515,67,68,91,111,123,
24,3,289,141,12,11,1,68,181,69,1168,24,24,7,SAVED_TERMINATED,20,12,12,1559,1583,68,743,767,787,799,
25,2,141,75,7,6,1,67,100,34,608,23,23,9,SAVED_TERMINATED,20,12,12,1627,1650,67,415,438,458,470,
26,0,542,59,8,1,7,63,76,17,336,19,19,4,SAVED_TERMINATED,20,12,12,1694,1713,63,342,361,381,393,
27,3,149,140,12,11,1,67,180,69,1168,23,23,9,SAVED_TERMINATED,20,12,12,1757,1780,67,482,505,525,537,
28,0,601,149,12,11,1,72,198,68,1152,28,28,3,SAVED_TERMINATED,20,12,12,1824,1852,72,544,572,592,604,
29,2,856,141,12,11,1,68,181,69,1168,24,24,1,SAVED_TERMINATED,20,12,12,1896,1920,68,954,978,998,1010,
30,0,240,83,11,1,10,63,103,26,480,19,19,8,SAVED_TERMINATED,20,12,12,1964,1983,63,612,631,651,663,


           SUMMARY OF SIMULATION        
avg,tot,avg,tot,avg,tot,avg,tot,avg,tot,avg,tot,avg,tot
wait,wait,comp,comp,IO,IO,read(io),read(io),write(io),write(io),ram,ram,cache,cache
391,11753,122,3665,11,338,8,241,3,97,67,2027,938,28160,
