Process info for MULTI-processor sim (CPU IDs are 0-3)
pid,cpu_id,wait time,comp time,I/O total,read cnt(I/O),write cnt(I/O),ram used(words),cache hit,cache miss,cache used(words),pc,code_sz,pri,status,ibuf_sz,obuf_sz,tbuf_sz,codeD_adr,dataD_adr,p_sz,codeR_adr,in_bufR_adr,out_bufR_adr,tmp_bufR_adr
1,3,462,23,3,2,1,68,28,14,288,23,24,2,SAVED_TERMINATED,20,12,12,0,24,68,620,644,664,676,
2,2,324,149,12,11,1,72,198,68,1152,28,28,4,SAVED_TERMINATED,20,12,12,68,96,72,136,164,184,196,
3,0,187,141,12,11,1,68,181,69,1168,24,24,6,SAVED_TERMINATED,20,12,12,140,164,68,816,840,860,872,
4,1,290,19,3,1,2,64,27,6,160,19,20,5,SAVED_TERMINATED,20,12,12,208,228,64,884,904,924,936,
5,1,389,149,12,11,1,72,198,68,1152,28,28,3,SAVED_TERMINATED,20,12,12,272,300,72,408,436,456,468,
6,3,172,141,12,11,1,68,181,69,1168,24,24,7,SAVED_TERMINATED,20,12,12,344,368,68,680,704,724,736,
7,1,309,19,3,1,2,64,27,6,160,19,20,5,SAVED_TERMINATED,20,12,12,412,432,64,948,968,988,1000,
8,0,0,19,3,1,2,64,27,6,160,19,20,16,SAVED_TERMINATED,20,12,12,476,496,64,0,20,40,52,
9,0,479,141,12,11,1,68,181,69,1168,24,24,2,SAVED_TERMINATED,20,12,12,540,564,68,688,712,732,744,
10,3,0,149,12,11,1,72,198,68,1152,28,28,10,SAVED_TERMINATED,20,12,12,608,636,72,200,228,248,260,
11,0,456,23,3,2,1,68,28,14,288,23,24,3,SAVED_TERMINATED,20,12,12,680,704,68,480,504,524,536,
12,1,141,149,12,11,1,72,198,68,1152,28,28,9,SAVED_TERMINATED,20,12,12,748,776,72,344,372,392,404,
13,1,0,141,12,11,1,68,181,69,1168,24,24,12,SAVED_TERMINATED,20,12,12,820,844,68,64,88,108,120,
14,3,485,19,3,1,2,64,27,6,160,19,20,2,SAVED_TERMINATED,20,12,12,888,908,64,756,776,796,808,
15,0,328,128,11,10,1,68,165,62,1056,24,24,5,SAVED_TERMINATED,20,12,12,952,976,68,0,24,44,56,
16,2,164,19,3,1,2,64,27,6,160,19,20,8,SAVED_TERMINATED,20,12,12,1020,1040,64,552,572,592,604,
17,3,313,149,12,11,1,72,198,68,1152,28,28,4,SAVED_TERMINATED,20,12,12,1084,1112,72,208,236,256,268,
18,2,0,141,12,11,1,68,181,69,1168,24,24,12,SAVED_TERMINATED,20,12,12,1156,1180,68,132,156,176,188,
19,1,538,120,10,9,1,72,161,54,928,28,28,1,SAVED_TERMINATED,20,12,12,1224,1252,72,888,916,936,948,
20,3,504,141,12,11,1,68,181,69,1168,24,24,2,SAVED_TERMINATED,20,12,12,1296,1320,68,820,844,864,876,
21,1,351,19,3,1,2,64,27,6,160,19,20,4,SAVED_TERMINATED,20,12,12,1364,1384,64,280,300,320,332,
22,0,19,149,12,11,1,72,198,68,1152,28,28,10,SAVED_TERMINATED,20,12,12,1428,1456,72,272,300,320,332,
23,1,328,23,3,2,1,68,28,14,288,23,24,5,SAVED_TERMINATED,20,12,12,1500,1524,68,68,92,112,124,
24,2,183,141,12,11,1,68,181,69,1168,24,24,7,SAVED_TERMINATED,20,12,12,1568,1592,68,748,772,792,804,
25,2,141,23,3,2,1,68,28,14,288,23,24,9,SAVED_TERMINATED,20,12,12,1636,1660,68,416,440,460,472,
26,1,370,19,3,1,2,64,27,6,160,19,20,4,SAVED_TERMINATED,20,12,12,1704,1724,64,344,364,384,396,
27,3,149,23,3,2,1,68,28,14,288,23,24,9,SAVED_TERMINATED,20,12,12,1768,1792,68,484,508,528,540,
28,2,473,149,12,11,1,72,198,68,1152,28,28,3,SAVED_TERMINATED,20,12,12,1836,1864,72,548,576,596,608,
29,0,620,141,12,11,1,68,181,69,1168,24,24,1,SAVED_TERMINATED,20,12,12,1908,1932,68,0,24,44,56,
30,0,168,19,3,1,2,64,27,6,160,19,20,8,SAVED_TERMINATED,20,12,12,1976,1996,64,616,636,656,668,


           SUMMARY OF SIMULATION        
avg,tot,avg,tot,avg,tot,avg,tot,avg,tot,avg,tot,avg,tot
wait,wait,comp,comp,IO,IO,read(io),read(io),write(io),write(io),ram,ram,cache,cache
278,8343,89,2686,8,240,6,202,1,38,68,2040,737,22112,
