Process info for SINGLE-processor sim (CPU ID is 0)
pid,cpu_id,wait time,comp time,I/O total,read cnt(I/O),write cnt(I/O),ram used(words),cache hit,cache miss,cache used(words),pc,code_sz,pri,status,ibuf_sz,obuf_sz,tbuf_sz,codeD_adr,dataD_adr,p_sz,codeR_adr,in_bufR_adr,out_bufR_adr,tmp_bufR_adr
1,0,624,140,12,11,1,67,180,69,1168,23,23,2,SAVED_TERMINATED,20,12,12,0,23,67,504,527,547,559,
2,0,2502,149,12,11,1,72,198,68,1152,28,28,4,SAVED_TERMINATED,20,12,12,67,95,72,476,504,524,536,
3,0,1246,141,12,11,1,68,181,69,1168,24,24,6,SAVED_TERMINATED,20,12,12,139,163,68,839,863,883,895,
4,0,0,91,12,1,11,63,112,29,528,19,19,5,SAVED_TERMINATED,20,12,12,207,226,63,0,19,39,51,
5,0,2651,149,12,11,1,72,198,68,1152,28,28,3,SAVED_TERMINATED,20,12,12,270,298,72,548,576,596,608,
6,0,1387,141,12,11,1,68,181,69,1168,24,24,7,SAVED_TERMINATED,20,12,12,342,366,68,907,931,951,963,
7,0,91,91,12,1,11,63,112,29,528,19,19,5,SAVED_TERMINATED,20,12,12,410,429,63,63,82,102,114,
8,0,182,91,12,1,11,63,112,29,528,19,19,16,SAVED_TERMINATED,20,12,12,473,492,63,126,145,165,177,
9,0,1528,141,12,11,1,68,181,69,1168,24,24,2,SAVED_TERMINATED,20,12,12,536,560,68,0,24,44,56,
10,0,2800,149,12,11,1,72,198,68,1152,28,28,10,SAVED_TERMINATED,20,12,12,604,632,72,620,648,668,680,
11,0,764,140,12,11,1,67,180,69,1168,23,23,3,SAVED_TERMINATED,20,12,12,676,699,67,571,594,614,626,
12,0,2949,149,12,11,1,72,198,68,1152,28,28,9,SAVED_TERMINATED,20,12,12,743,771,72,692,720,740,752,
13,0,1669,141,12,11,1,68,181,69,1168,24,24,12,SAVED_TERMINATED,20,12,12,815,839,68,68,92,112,124,
14,0,273,75,10,1,9,63,94,23,432,19,19,2,SAVED_TERMINATED,20,12,12,883,902,63,189,208,228,240,
15,0,1810,128,11,10,1,68,165,62,1056,24,24,5,SAVED_TERMINATED,20,12,12,946,970,68,136,160,180,192,
16,0,348,35,5,1,4,63,49,8,192,19,19,8,SAVED_TERMINATED,20,12,12,1014,1033,63,252,271,291,303,
17,0,3098,149,12,11,1,72,198,68,1152,28,28,4,SAVED_TERMINATED,20,12,12,1077,1105,72,764,792,812,824,
18,0,1938,141,12,11,1,68,181,69,1168,24,24,12,SAVED_TERMINATED,20,12,12,1149,1173,68,204,228,248,260,
19,0,3247,120,10,9,1,72,161,54,928,28,28,1,SAVED_TERMINATED,20,12,12,1217,1245,72,836,864,884,896,
20,0,2079,141,12,11,1,68,181,69,1168,24,24,2,SAVED_TERMINATED,20,12,12,1289,1313,68,272,296,316,328,
21,0,383,99,13,1,12,63,121,32,576,19,19,4,SAVED_TERMINATED,20,12,12,1357,1376,63,315,334,354,366,
22,0,3367,149,12,11,1,72,198,68,1152,28,28,10,SAVED_TERMINATED,20,12,12,1420,1448,72,908,936,956,968,
23,0,904,127,11,10,1,67,164,62,1056,23,23,5,SAVED_TERMINATED,20,12,12,1492,1515,67,638,661,681,693,
24,0,2220,141,12,11,1,68,181,69,1168,24,24,7,SAVED_TERMINATED,20,12,12,1559,1583,68,340,364,384,396,
25,0,1031,75,7,6,1,67,100,34,608,23,23,9,SAVED_TERMINATED,20,12,12,1627,1650,67,705,728,748,760,
26,0,482,59,8,1,7,63,76,17,336,19,19,4,SAVED_TERMINATED,20,12,12,1694,1713,63,378,397,417,429,
27,0,1106,140,12,11,1,67,180,69,1168,23,23,9,SAVED_TERMINATED,20,12,12,1757,1780,67,772,795,815,827,
28,0,0,0,0,0,0,72,0,0,0,0,28,3,NEW,20,12,12,1824,1852,72,0,0,0,0,
29,0,2361,141,12,11,1,68,181,69,1168,24,24,1,SAVED_TERMINATED,20,12,12,1896,1920,68,408,432,452,464,
30,0,541,83,11,1,10,63,103,26,480,19,19,8,SAVED_TERMINATED,20,12,12,1964,1983,63,441,460,480,492,


           SUMMARY OF SIMULATION        
avg,tot,avg,tot,avg,tot,avg,tot,avg,tot,avg,tot,avg,tot
wait,wait,comp,comp,IO,IO,read(io),read(io),write(io),write(io),ram,ram,cache,cache
1452,43581,117,3516,10,326,7,230,3,96,67,2027,900,27008,
